name,uri,genres
One Of Them Girls,14GwnOeC9qYEKEA6uOZepa,"['contemporary country', 'country', 'country road', 'modern country rock']"
More Than My Hometown,6FniJZn4agmDtPx1pKZQsa,['contemporary country']
Nothin' on You,5ggoxc2dhlFjListerctlA,"['contemporary country', 'country', 'country road', 'texas country']"
Friendship,2ZAqfeq7PMp7XA2IKhuJJ2,"['contemporary country', 'outlaw country']"
A Simple Song,1XXl9pl7ObojHbyJetY75n,"['contemporary country', 'outlaw country']"
Gabrielle,1o0UHbEDYCCpzz8cVQfWxp,"['contemporary country', 'country', 'country road', 'modern country rock']"
Crowd My Mind,4kcaTWjTBgs9muGQCo8524,"['contemporary country', 'country', 'country road', 'modern country rock']"
Six Feet Apart,3aMUiKCIXJeurR5ppEMJZD,['contemporary country']
The Reason,22iS24vqgM9Cq8uQM7niiI,"['contemporary country', 'country', 'country road', 'modern country rock']"
Better Than Me - Acoustic,6YXdG7miTivRYzcIB0FhJb,"['contemporary country', 'country road']"
Good Lord Lorrie,0pghPocTwFg6ckBUs52SQ8,['red dirt']
Ballad Of A Southern Man,6P7kZB7hSJFyaYJcu3cYQJ,"['modern southern rock', 'texas country']"
What Kinda Gone,7uPReljrrTaqzDCcx4JHmi,"['contemporary country', 'country', 'country road', 'modern country rock']"
Boy,7A8OfzqXBHYGk61FZTHoeo,"['contemporary country', 'country', 'country road', 'modern country rock']"
Leaving Love Behind,1rdyEsdv6qJ7VNz96BdeIS,"['contemporary country', 'country', 'country road', 'modern country rock']"
Beer Can’t Fix,7idmHTAQQPUFqdjXkoooXD,"['contemporary country', 'country', 'country road', 'modern country rock']"
"SIGNED, SOBER YOU",3hdh8HHhZyhO5oqDjjKVAn,['contemporary country']
He Went To Jared (HARDY feat. Morgan Wallen),65IHmBagtQrYRcJd8a47zv,['contemporary country']
I'm Gonna Miss Her,4ipZsAA3YuqCDSXiPoEGIv,"['contemporary country', 'country', 'country road']"
THROWBACK,7fToSlGPKlugVUCAZWvydi,['contemporary country']
"Redneck Tendencies (HARDY feat. Trace Adkins, Joe Diffie)",1lYBlgWcwRqZ6T5syEATJJ,['contemporary country']
"My Kinda Livin’ (HARDY feat. Hunter Phelps, Jameson Rodgers)",17E5XweAlvnU7pkghMgvMs,['contemporary country']
Somewhere That You Don't Go,25svSblU0qyzxt2WdszcFZ,"['contemporary country', 'country pop', 'country road', 'modern country rock']"
Matagorda Bay,2kUim3eBMnbwb81ckdEhIc,"['contemporary country', 'country road', 'modern country rock', 'red dirt', 'texas country']"
Bottom Of The Fifth,4lvjgZAas0ZZ9dVKkmQShx,"['country pop', 'country road', 'modern country rock', 'red dirt', 'texas country']"
Here And Now,0NSwXfEWMG7HIRvXioGu03,"['contemporary country', 'country', 'country road']"
Be A Light,5o6dFqafETxZNqUFt9ZqAC,"['contemporary country', 'country', 'country road', 'modern country rock']"
Almost Maybes,14JFKtBSqefxfMiKhq6JT8,['contemporary country']
WHERE TO FIND ME,5OeF6XbsPBDmhKXD30CKEZ,['contemporary country']
God And Country Music,4RldvvNaEdteK2I0y6NWTR,"['contemporary country', 'country', 'country road', 'country rock']"
Country Boy Things,0CyhPM6R3S6IckZurbV1YT,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
Hole In A Bottle,2QtZvpEiGKqcwMsF1tUW7B,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
Whiskey Kinda Night,2pM6ikjdrBd1Dvr8AVGzr3,"['contemporary country', 'country pop', 'modern country rock']"
Everywhere But On,0ifYeH4gNXEyba41xr3I1w,"['arkansas country', 'contemporary country', 'country pop']"
BOOTS,5d9nNDxhtF99CgFfKm6NK5,['contemporary country']
Phone Call to God,3oSyemHgjMoHqW85EuclSb,"['contemporary country', 'country', 'country road', 'modern country rock']"
Sunshine & Whiskey,6aNwDe5YH5YUPlpHkku52w,"['contemporary country', 'country', 'country road', 'modern country rock']"
Wild World,0T9CT1kycRdeWTyy5EkmWc,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']"
Runnin' Outta Moonlight,6enPOmd3vSFpI4jjms8kXN,"['contemporary country', 'country', 'country road', 'modern country rock', 'redneck']"
Church Bells,67citk3uzWs5qbaIVKTeg8,"['contemporary country', 'country', 'country dawn', 'country road', 'oklahoma country', 'post-teen pop']"
Before He Cheats,0ZUo4YjG4saFnEJhdWp9Bt,"['contemporary country', 'country', 'country dawn', 'country road', 'oklahoma country', 'post-teen pop']"
Honky Tonk Highway,6Xc2ppeXCBZbwuCcaRDrdn,['contemporary country']
Cover Me Up,47yypFbq6fu3yUvFoaf2UN,['contemporary country']
This Damn Song,7s9bJQK8sr8yDyOAHn8miR,['red dirt']
Out There,19ihEHhT75cZXJMNGZnuQm,"['contemporary country', 'country', 'country road', 'modern country rock']"
Better Boat (feat. Mindy Smith),357oRj2nlGc9QLjMGifVtS,"['contemporary country', 'country', 'country road']"
Almost,0CKt2RA2gYQqUKejm0Rq0m,"['contemporary country', 'country', 'country road', 'modern country rock']"
When The Stars Come Out,5Vt2oXZbkQgFWH1Tih1okV,"['contemporary country', 'outlaw country']"
